Spell 	Lvl 	School 	Casting Time 	Range 	Duration 	V,S,M 	Concentration 	Ritual 
Acid Splash	0	Evocation	Action	60 ft	Instantaneous	V,S		
Aid	2	Abjuration	Action	30 ft	8 hours	V,S,M		
Alarm	1	Abjuration	1 minute	30 ft	8 hours	V,S,M		Ritual
Alter Self	2	Transmutation	Action	Self	1 hour	V,S	Concentration	
Animal Friendship	1	Enchantment	Action	30 ft	24 hours	V,S,M		
Animal Messenger	2	Enchantment	Action	30 ft	24 hours	V,S,M		Ritual
Animal Shapes	8	Transmutation	Action	30 ft	24 hours	V,S		
Animate Dead	3	Necromancy	1 minute	10 ft	Instantaneous	V,S,M		
Animate Objects	5	Transmutation	Action	120 ft	1 minute		Concentration	
Antilife Shell	5	Abjuration	Action	Self	1 hour		Concentration	
Antimagic Field	8	Abjuration	Action	Self	1 hour	V,S,M	Concentration	
Antipathy/Sympathy	8	Enchantment	1 hour	60 ft	10 days	V,S,M		
Arcane Eye	4	Divination	Action	30 ft	1 hour	V,S,M	Concentration	
Arcane Gate	6	Conjuration	Action	500 ft	10 minutes		Concentration	
Arcane Lock	2	Abjuration	Action	Touch	Dispelled	V,S,M		
Arcane Vigor	2	Abjuration	Bonus Action	Self	Instantaneous	V,S		
Armor of Agathys	1	Abjuration	Bonus Action	Self	1 hour	V,S,M		
Arms of Hadar	1	Conjuration	Action	Self	Instantaneous	V,S		
Astral Projection	9	Necromancy	1 hour	10 ft	Dispelled	V,S,M		
Augury	2	Divination	1 minute	Self	Instantaneous	V,S,M		Ritual
Aura of Life	4	Abjuration	Action	Self	10 minutes	V	Concentration	
Aura of Purity	4	Abjuration	Action	Self	10 minutes	V	Concentration	
Aura of Vitality	3	Abjuration	Action	Self	1 minute	V	Concentration	
Awaken	5	Transmutation	8 hours	Touch	Instantaneous			
Bane	1	Enchantment	Action	30 ft	1 minute	V,S,M	Concentration	
Banishing Smite	5	Conjuration	Bonus Action	Self	1 minute		Concentration	
Banishment	4	Abjuration	Action	30 ft	1 minute	V,S,M	Concentration	
Barkskin	2	Transmutation	Bonus Action	Touch	1 hour	V,S,M		
Beacon of Hope	3	Abjuration	Action	30 ft	1 minute	V,S	Concentration	
Beast Sense	2	Divination	Action	Touch	1 hour	S	Concentration	Ritual
Befuddlement	8	Enchantment	Action	150 ft	Instantaneous	V,S,M		
Bestow Curse	3	Necromancy	Action	Touch	1 minute	V,S	Concentration	
Bigby's Hand	5	Evocation	Action	120 ft	1 minute		Concentration	
Blade Barrier	6	Evocation	Action	90 ft	10 minutes		Concentration	
Blade Ward	0	Abjuration	Action	Self	1 minute	V,S	Concentration	
Bless	1	Enchantment	Action	30 ft	1 minute	V,S,M	Concentration	
Blight	4	Necromancy	Action	30 ft	Instantaneous	V,S		
Blinding Smite	3	Evocation	Bonus Action	Self	1 minute	V		
